image,model,gt_frac,gt_iou,gt_dice,chance_iou,pointing_game,mass_in_gt,collapsed
.10310.1517875223.101698,int8-qdq,0.0068,0.0,0.0,0.0034,False,0.0034,False
.10312.1517875223.105803,fp32,0.0356,0.0045,0.009,0.0181,False,0.0427,False
.10312.1517875223.105803,int8-qdq,0.0356,0.0037,0.0073,0.0181,False,0.0317,False
.10314.1517875223.121149,fp32,0.0423,0.0156,0.0306,0.0216,False,0.0583,False
.10314.1517875223.121149,int8-qdq,0.0423,0.0028,0.0057,0.0216,False,0.0427,False
.10316.1517875223.125686,fp32,0.0305,0.1248,0.2219,0.0155,False,0.0829,False
.10316.1517875223.125686,int8-qdq,0.0305,0.1052,0.1904,0.0155,False,0.0652,False
.10317.1517875223.123236,fp32,0.0086,0.0,0.0,0.0043,False,0.0148,False
.10317.1517875223.123236,int8-qdq,0.0086,0.0,0.0,0.0043,False,0.0026,False
.10318.1517875223.123532,fp32,0.0283,0.0,0.0,0.0143,False,0.0171,False
.10318.1517875223.123532,int8-qdq,0.0283,0.0,0.0,0.0143,False,0.0104,False
